,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
1271,Startup Gladstone - EarlyPreneur Programme,Round 1,Start-up Gladstone Inc,Gladstone,4680.0,," Australia and New Zealand Banking Group 
 Bank of Queensland Gladstone 
 Australia Pacific LNG Pty Limited",EarlyPrenuer Program Support,Gladstone Central,4680.0,,15/12/2019,Gladstone (R),Central Queensland,Gladstone,60000.0
1272,Startup Onramp Regional Program,,Spike Innovation Pty Ltd (as trustee for Kinner Family Trust) T/a Startup Onramp,Ashgrove,4060.0,,,StartUp Onramp Regional Program,,,Regional Queensland Locations,25/06/2018,Brisbane (C),Statewide,Ferny Grove,667000.0
1273,States of Change,Round 1,NESTA,United Kingdom,,,Various international collaborations which Nesta is a partner to,States of Change,Brisbane City,4000.0,,26/02/2019,NonQueensland,Brisbane,NonQueensland,300000.0
1274,Sunramp Accelerator Program,Round 1,Sunshine Coast Regional Council,Maroochydore,4558.0,,,SunRamp Accelerator Program Sunshine Coast,Maroochydore,4558.0,,8/07/2020,Sunshine Coast (R),Sunshine Coast,Maroochydore,180000.0
1275,Testing Within Government,Round 3,Neighbourlytics,Fortitude Valley,4006.0,,,How Well Is Your Community Thriving,Fortitude Valley,4006.0,,20/08/2018,Brisbane (C),Brisbane,McConnel,35000.0
1276,Testing Within Government,Round 3,C14 Ventures,Calamvale,4116.0,,,How Old Is This Fish,Calamvale,4116.0,,20/08/2018,Brisbane (C),Brisbane,Algester,35000.0
1277,Testing Within Government,Round 3,Digital Craftsmen Solutions,Algester,4115.0,,,Find My Way,Algester,4115.0,,20/08/2018,Brisbane (C),Brisbane,Algester,35000.0
1278,Testing Within Government,Round 3,HazardTech,Maroochydore,4558.0,,,Roadwork Safety Alert,Maroochydore,4558.0,,20/08/2018,Sunshine Coast (R),Sunshine Coast,Maroochydore,10500.0
1279,Testing Within Government,Round 3,EconomX,Toowoomba,4350.0,,,Always Open,Toowoomba City,4350.0,,20/08/2018,Toowoomba (R),Darling Downs,Toowoomba North,35000.0
1280,Therabubble,Round 1,Physiotherapy Innovations Pty Ltd,Cornubia,4130.0,,,Therabubble™ - Accelerated Research and Development for a Covid-19 Response,Cornubia,4130.0,,8/07/2020,Logan (C),Logan,Macalister,114309.0
1281,Travello,Round 1,Travello Pty Ltd,Fortitude Valley,4006.0,,,Travello - Traveller Marketing & Data Insights Platform,Fortitude Valley,4006.0,,22/10/2019,Brisbane (C),Brisbane and Redlands,McConnel,300000.0
1282,UQ - COVID-19 Vaccine,UQ - COVID-19 Vaccine,The University of Queensland,St Lucia,4067.0,,,Rapid Acceleration of the UQ COVID-19 Vaccine Program,St Lucia,4067.0,,16/04/2020,Brisbane (C),Brisbane and Redlands,Maiwar,10000000.0
1283,WaterStart,Round 1,WaterStart Pty Ltd,Brisbane City,4000.0,,,WaterStart,Brisbane City,4000.0,,19/05/2020,Brisbane (C),Brisbane and Redlands,McConnel,500000.0
1284,Yarrabah Business Accelerator Incubation Hub,Round 1,Gurriny Yealamucka (Good Healing) Health Services Aboriginal Corporation,Yarrabah,4871.0,,,Yarrabah Accelerator and Innovation Hub,Yarrabah,4871.0,,3/03/2020,Yarrabah (S),Far North Queensland,Mulgrave,300000.0
1285,Young Starters' Competition,Round 1,"Grant Sampson
Recipient - Prize winner",Hope Island,4212.0,,,BragTag digital fishing app,,,,5/06/2017,Gold Coast (C),Gold Coast,Broadwater,30000.0
1286,Young Starters' Competition,Round 1,"Robert Joseph
Recipient - Prize winner",Ormeau,4208.0,,,Anti,,,,5/06/2017,Gold Coast (C),Gold Coast,Coomera,15000.0
1287,Young Starters' Competition,Round 2,"Micromelon Robotics (Team)
Recipient - Prize winner",Albany Creek,4035.0,,,Micromelon Robotics,,,,23/07/2018,Moreton Bay (R),Moreton Bay,Everton,15000.0
1288,Young Starters' Competition,Round 2,"Thomas Stolberg
Recipient - Prize winner",Mackay,4740.0,,,Make it Now,,,,23/07/2018,Mackay (R),Mackay-Whitsunday,Mackay,30000.0
1289,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Tech Girls Movement Pty Ltd,Coopers Plains,4108.0,,,Queensland Search for the Next Tech Girl Superhero Showcase,Brisbane City,4000.0,,13/04/2017,Brisbane (C),Brisbane and Redlands,Toohey,20000.0
1290,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Queensland University of Technology,Brisbane City,4000.0,,,Startup Hatch 2017,Brisbane City,4000.0,,28/02/2017,Brisbane (C),Brisbane and Redlands,McConnel,17435.0
1291,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,University of the Sunshine Coast,Sippy Downs,4556.0,,,Empowering Startup Founders 2017 through Experiential Entrepreneurship Education,Birtinya,4575.0,,24/04/2017,Sunshine Coast (R),Sunshine Coast,Buderim,16000.0
1292,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,Redlynch State College,Redlynch,4870.0,,,Emerging Entrepreneurs - Turning Big Ideas into Reality,Redlynch,4870.0,,19/05/2017,Cairns (R),Far North Queensland,Barron River,11200.0
1293,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 6,Brisbane State High School,South Brisbane,4101.0,,,Verge Young Entrepreneurs Program,Brisbane City,4000.0,"Brisbane State High School, MacGregor State High School and Kedron State High School",19/05/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,15402.0
1294,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Griffith University,Meadowbrook,4131.0,,,GLO@Logan High School Entrepreneurial Innovation Challenge,Meadowbrook,4131.0,Logan State high school STEM hub,28/08/2017,Logan (C),Logan,Waterford,10680.0
1295,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,Townsville Region Indigenous Business Network,West End,4810.0,,,Academy for Young Entrepreneurs,Townsville City,4810.0,,27/09/2016,Townsville (C),Townsville,Townsville,15200.0
1296,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,The Youth Development Foundation Limited,Brendale,4500.0,,,Academy for Young Entrepreneurs,Brendale,4500.0,,23/12/2016,Moreton Bay (R),Moreton Bay,Pine Rivers,7600.0
1297,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 4,Alexander Spiros Bourne T/A UPAHUB,Mudgeeraba,4213.0,,,Campus Innovation Initiative,Southport,4215.0,,7/02/2017,Gold Coast (C),Gold Coast,Mudgeeraba,1096.0
1298,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Generation Innovation Ltd,Buderim,4556.0,,,The 2017 GI Challenge,Maroochydore,4558.0,,13/04/2017,Sunshine Coast (R),Sunshine Coast,Buderim,12240.0
1299,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Fifty Six Creations Pty Ltd - Mt Gravatt,Upper Mount Gravatt,4122.0,,,Fiftysix Education in Aurukun!,Aurukun,4892.0,,28/02/2017,Brisbane (C),Far North Queensland,Mansfield,18000.0
1300,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 5,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,,Startup Weekend Creative Tech 2017,Brisbane City,4000.0,,28/02/2017,Brisbane (C),Brisbane and Redlands,McConnel,9000.0
1301,Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Central Queensland University,Cairns,4870.0,,,Big Fish Cairns,Cairns City,4870.0,,22/01/2018,Cairns (R),Far North Queensland,Cairns,11351.0
1302,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Startup STEAM Incorporated,Alexandra Headland,4572.0,,,Startup Weekend for Youth 2017,Maroochydore,4558.0,,28/08/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,11200.0
1303,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,St John's Anglican College,Forest Lake,4078.0,,,Australian Conrad Spirit of Innovation Challenge,Forest Lake,4078.0,,28/08/2017,Brisbane (C),Ipswich,Inala,3000.0
1304,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 8,Woree State High School,Woree,4868.0,,,Entrepreneurship and innovation with Makers Space aligning to STEM objectives,Woree,4868.0,,10/07/2017,Cairns (R),Far North Queensland,Mulgrave,15840.0
1305,Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Gold Coast City Council,Bundall,4217.0,,,City Libraries Young Creatives Bootcamp,Helensvale,4212.0,,22/01/2018,Gold Coast (C),Gold Coast,Southport,13370.0
1306,Young Starters' Fund,AQ Young Starters Fund Round 2017-18 Round 1,Fifty Six Creations Pty Ltd - Head Office,Brisbane City,4000.0,,,Fiftysix Creations x Advance Queensland in Burdekin!,Ayr,4807.0,,18/10/2017,Brisbane (C),Townsville,McConnel,15000.0
1307,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,The Space Australasia Pty Ltd,Manunda,4870.0,,,Emerging Entrepreneurs School Holiday Program,Cairns City,4870.0,,19/05/2017,Cairns (R),Far North Queensland,Cairns,15680.0
1308,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,Startup Mackay Inc,Mackay,4740.0,,,"Startup Weekend Youth, Mackay",Mackay,4740.0,,19/05/2017,Mackay (R),Mackay-Whitsunday,Mackay,8318.0
1309,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 7,Berwin Ltd,Pialba,4655.0,,,Founderfest Fraser Coast,Hervey Bay,4655.0,,19/05/2017,Fraser Coast (R),Wide Bay,Hervey Bay,11033.0
1310,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Jubilee Christian College Limited,Atherton,4883.0,,,Empowering rural students to build local careers,Atherton,4883.0,,28/08/2017,Tablelands (R),Far North Queensland,Hill,15680.0
1311,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 9,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,,Creative³ Forum – Bursary Tickets,Brisbane City,4000.0,,28/08/2017,Brisbane (C),Brisbane and Redlands,McConnel,15000.0
1312,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 8,Innovate Noosa Inc,Noosaville,4566.0,,,Pitch like a Pro: Elevator Pitch Series for Young People,Noosa Heads,4567.0,,10/07/2017,Noosa (S),Sunshine Coast,Noosa,5237.0
1313,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Marist Youth Care Limited,Paddington,4064.0,,,We can be Heroes startup workshops - YGSTRS-4254968-35,Brisbane City,4000.0,,8/04/2016,Brisbane (C),Brisbane and Redlands,Cooper,19270.0
1314,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 3,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,,Startup Weekend Brisbane / Creative Tech - YGSTRS-4447863-45,Brisbane City,4000.0,,1/04/2016,Brisbane (C),Brisbane and Redlands,McConnel,4085.0
1315,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 3,Canvas Coworking Inc,Toowoomba City,4350.0,,,Founderfest 2016 - YGSTRS-4442023-44,Toowoomba City,4350.0,,1/04/2016,Toowoomba (R),Darling Downs,Toowoomba North,10247.0
1316,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,University of the Sunshine Coast,Sippy Downs,4556.0,,,Empowering Young Entrepreneurs through Experiential Entrepreneurship - YGSTRS-4608703-52,Sippy Downs,4556.0,"Various locations across Sunshine Coast - Maroochydore, Sippy Downs, Woombye",8/04/2016,Sunshine Coast (R),Sunshine Coast,Buderim,20000.0
1317,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Tech Girls Movement Pty Ltd,Coopers Plains,4108.0,,,2016 Showcase for the Search for the Next Tech Girl Superhero - YGSTRS-4313758-41,Brisbane City,4000.0,,8/04/2016,Brisbane (C),Brisbane and Redlands,Toohey,20000.0
1318,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 4,Palm Beach-Currumbin State High School,Palm Beach,4221.0,,,Entrepreneurial Education Program (EEP) - YGSTRS-4266928-39,Palm Beach,4221.0,Currumbin,8/04/2016,Gold Coast (C),Gold Coast,Burleigh,20000.0
1319,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Queensland University of Technology,Brisbane City,4000.0,,,Startup Hatch - Bringing ideas to reality in 30 days - YGSTRS-4055612-27,Brisbane City,4000.0,,20/03/2016,Brisbane (C),Brisbane and Redlands,McConnel,20000.0
1320,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Startup STEAM Inc,Alexandra Headland,4572.0,,,Startup Weekend for Youth (Sunshine Coast) 2016 - YGSTRS-3885095-10,Sippy Downs,4556.0,,18/02/2016,Sunshine Coast (R),Sunshine Coast,Maroochydore,7500.0
1321,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Fifty Six Creations Pty Ltd - Mt Gravatt,Upper Mount Gravatt,4122.0,,,Fiftysix Academy and Advance Queensland in Cairns!  - YGSTRS-3788258-4,Cairns City,4870.0,,18/02/2016,Brisbane (C),Far North Queensland,Mansfield,19500.0
1322,Young Starters' Fund,AQ Young Starters Fund 2017-18 Round 2,"HInchinbrook Chamber of Commerce, Industry & Tourism Inc",Ingham,4850.0,,,emPOWERING regional YOUth - Entrepreneurs and Innovators of Tomorrow,Ingham,4850.0,,22/01/2018,Hinchinbrook (S),Townsville,Hinchinbrook,17636.0
1323,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Mountain Creek State High School,Mountain Creek,4557.0,,,Startup-ED - YGSTRS-3968944-17,Mountain Creek,4557.0,,20/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,20000.0
1324,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 2,Generation Innovation Ltd,Buderim,4556.0,,,GI Challenge 2016 - YGSTRS-3987640-19,Maroochydore,4558.0,,20/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,16450.0
1325,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 1,Time Masters (Australia) Pty Limited,Runaway Bay,4216.0,,,Open Your Eyes to Cash - YGSTRS-3764536-3,Logan Central,4114.0,,18/02/2016,Gold Coast (C),Logan,Broadwater,10800.0
1326,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Helensvale State High School,Helensvale,4212.0,,,Startup Apprentice Eight Week Accelerator Program,Helensvale,4212.0,,3/08/2016,Gold Coast (C),Gold Coast,Theodore,18500.0
1327,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Agapeflows Pty Ltd,Blackwater,4717.0,,,Academy for Young Entrepreneurs,Blackwater,4717.0,,3/08/2016,Central Highlands (R),Central Queensland,Gregory,9500.0
1328,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 1,Upper Coomera  P-12 State College,Upper Coomera,4209.0,,,Startup Apprentice Eight Week Accelerator Program,Upper Coomera,4209.0,,28/07/2016,Gold Coast (C),Gold Coast,Theodore,15897.0
1329,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 3,The Space Australasia Pty Ltd,Manunda,4870.0,,,FNQ Schools Startup Summit 2016,Smithfield,4878.0,,26/09/2016,Cairns (R),Far North Queensland,Cairns,3386.0
1330,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Queensland University of Technology,Brisbane City,4000.0,,,Disrupting Law,Brisbane City,4000.0,,3/08/2016,Brisbane (C),Brisbane and Redlands,McConnel,14000.0
1331,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 2,Hope Centre Services,Bowen Hills,4006.0,,,Academy for Young Entrepreneurs,Banyo,4014.0,,3/08/2016,Brisbane (C),Brisbane and Redlands,McConnel,9500.0
1332,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 1,Southern Downs Regional Council,Warwick,4370.0,,,Southern Downs INCubate Twilight Startup Workshop,Warwick,4370.0,,28/07/2016,Southern Downs (R),Darling Downs,Southern Downs,5600.0
1333,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Kixstaart Indigenous Business Pty Ltd,Wurtulla,4575.0,,,Australia’s First Indigenous Startup Weekend - YGSTRS-5108012-71,South Brisbane,4101.0,,21/06/2016,Sunshine Coast (R),Brisbane and Redlands,Kawana,13500.0
1334,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Griffith University,Southport,4215.0,,,Mentor Revolution – Get Started - YGSTRS-4924968-64,Southport,4215.0,University of Queensland - St Lucia,21/06/2016,Gold Coast (C),Gold Coast,Bonney,19226.0
1335,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Fifty Six Creations Pty Ltd - Mt Gravatt,Upper Mount Gravatt,4122.0,,,Fiftysix Academy and Advance Queensland in Mackay! - YGSTRS-4702058-56,Mackay,4740.0,,21/06/2016,Brisbane (C),Mackay-Whitsunday,Mansfield,20000.0
1336,Young Starters' Fund,AQ Young Starters Fund Round 2016-17 Round 1,South Bank Business Association Incorporated,South Brisbane,4101.0,,,The Big 5 - 5 Big Learnings from Industry Experts,South Brisbane,4101.0,,28/07/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,7500.0
1337,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Time Masters (Australia) Pty Limited,Runaway Bay,4216.0,,,Open Your Eyes to Cash - Logan - YGSTRS-4799944-62,Loganholme,4129.0,Logan,21/06/2016,Gold Coast (C),Logan,Broadwater,10350.0
1338,Young Starters' Fund,AQ Young Starters Fund Round 2015-16 Round 5,Marist Youth Care Limited,Paddington,4064.0,,,IMPACT National Conference - YGSTRS-5061022-69,South Brisbane,4101.0,,21/06/2016,Brisbane (C),Brisbane and Redlands,Cooper,9546.0
